"Quantity";"RefDes";"Value";"Name"
"2";"C1, C2";"0.1uF";"CAP_1206"
"1";"R1";"200";"RES_1206"
"15";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16";"100";"RES_1206"
"1";"R17";"10K";"RES_1206"
"3";"S1, S2, S3";"";"6x6x9mm Tact Tactile Push Button Momentary Micro Sw"
"15";"S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18";"";"6x6x9mm Tactile PB Mom Micro Switch"
"37";"";"";""
