"Quantity";"RefDes";"Value";"Name"
"3";"C1, C2, C3";"10uF";"CAP"
"3";"C4, C5, C6";"0.1uF";"CAP"
"1";"D1";"";"10V ZENER"
"1";"J1";"";"2x8IDC"
"1";"Q1";"FQP47p06";"MOSFET_ENH_P"
"1";"R1";"100K";"RES_1206"
"2";"TP12, TP14";"";"CON_MALE_2"
"1";"U1";"";"LM1117-33"
"1";"U2";"";"LM7805"
"14";"";"";""
